country,country_serial,metric,unit,sector,sub_sector,sub_sub_sector,source_link,source,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Algeria,DZ,Electricity generated from hydropower (GWh),GWh,Electricity,Supply,Electricity generated from hydropower (GWh),https://africa-energy-portal.org/aep/country/algeria,AFREC Database,54.0,274.700012207031,274.700012207031,274.739990234375,251.100006103516,555.0,218.0,226.0,283.0,342.0,171.0,173.0,125.828643798828,330.0,254.0,145.0,218.0,56.2999992370605,117.0,119.674598693848,122.345169067383,9.30000019073486,,,
Algeria,DZ,"Electricity generation, Total (GWh)",GWh,Electricity,Supply,"Electricity generation, Total (GWh)",https://africa-energy-portal.org/aep/country/algeria,AFREC Database,25412.0,26830.69921875,27865.69921875,29845.740234375,30885.099609375,33915.0,35226.0,37196.0,40036.0,42769.0,42834.0,51312.93359375,56984.609375,60121.0,64527.0,68798.0,70997.0,76017.359375,76663.09375,80234.65625,84104.4765625,85390.3515625,,,
Algeria,DZ,"Electricity installed capacity, Total (MW)",MW,Electricity,Technical,"Electricity installed capacity, Total (MW)",https://africa-energy-portal.org/aep/country/algeria,IRENA database,6122.81005859375,6119.2998046875,6610.41015625,6741.83984375,7033.83984375,7852.6201171875,8266.8603515625,8879.0595703125,8970.9296875,11793.259765625,12003.6943359375,12109.6640625,13570.48046875,15884.8603515625,16757.4609375,18032.630859375,20073.30078125,20588.19921875,22188.0,24527.599609375,25348.19921875,25724.5,26609.19921875,,
Angola,AO,Electricity generated from hydropower (GWh),GWh,Electricity,Supply,Electricity generated from hydropower (GWh),https://africa-energy-portal.org/aep/country/angola,AFREC Database,912.0,1017.0,1143.0,1241.0,1491.0,1747.0,2665.0,2497.0,3134.0,3173.0,3703.0,4007.0,4287.490234375,4587.6142578125,5041.0,5192.0,5815.0,7653.07666015625,10374.3203125,10754.787109375,11187.3193359375,11675.419921875,,,
Angola,AO,"Electricity generation, Total (GWh)",GWh,Electricity,Supply,"Electricity generation, Total (GWh)",https://africa-energy-portal.org/aep/country/angola,AFREC Database,1445.0,1604.0,1777.0,1995.0,2243.0,2653.0,2959.0,3217.0,3930.0,4172.0,5448.0,5651.0,5997.25048828125,8036.6142578125,9480.0,9764.0,10361.0,10719.83984375,13076.56640625,13506.5966796875,13990.86328125,14532.904296875,,,
Angola,AO,"Electricity installed capacity, Total (MW)",MW,Electricity,Technical,"Electricity installed capacity, Total (MW)",https://africa-energy-portal.org/aep/country/angola,IRENA database,429.778991699219,432.97900390625,432.97900390625,432.97900390625,694.97900390625,694.97900390625,695.994995117188,985.994995117188,1020.09497070313,1020.09497070313,1176.09497070313,1331.39501953125,1704.49499511719,2157.21606445313,2339.01489257813,2397.01489257813,3136.28295898438,4781.55908203125,5449.57177734375,5804.5009765625,6138.5087890625,6138.576171875,6422.59521484375,,
Benin,BJ,Electricity generated from hydropower (GWh),GWh,Electricity,Supply,Electricity generated from hydropower (GWh),https://africa-energy-portal.org/aep/country/benin,AFREC Database,2.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
Benin,BJ,"Electricity generation, Total (GWh)",GWh,Electricity,Supply,"Electricity generation, Total (GWh)",https://africa-energy-portal.org/aep/country/benin,AFREC Database,134.0,129.0,153.0,161.0,179.0,236.0,328.0,409.0,232.0,139.0,151.0,154.0,161.0,173.0,247.0,329.010681152344,341.021423339844,330.658050537109,223.063827514648,227.888595581055,232.83137512207,933.14794921875,,,
Benin,BJ,"Electricity installed capacity, Total (MW)",MW,Electricity,Technical,"Electricity installed capacity, Total (MW)",https://africa-energy-portal.org/aep/country/benin,IRENA database,56.5,60.5,60.5,60.5,60.5,61.5,142.5,169.5,193.5,144.5,98.5,99.5,61.5,140.389999389648,100.699996948242,101.699996948242,203.399993896484,203.399993896484,177.399993896484,304.399993896484,304.440002441406,304.440002441406,329.440002441406,,
Botswana,BW,Electricity generated from hydropower (GWh),GWh,Electricity,Supply,Electricity generated from hydropower (GWh),https://africa-energy-portal.org/aep/country/botswana,AFREC Database,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
Botswana,BW,"Electricity generation, Total (GWh)",GWh,Electricity,Supply,"Electricity generation, Total (GWh)",https://africa-energy-portal.org/aep/country/botswana,AFREC Database,947.0,949.0,842.0,1113.0,991.0,971.0,1042.0,659.0,583.0,444.0,430.0,698.522399902344,2257.10180664063,1914.76000976563,2323.0,2968.0,2688.0,2722.46142578125,3057.45654296875,3101.80932617188,3149.36645507813,3662.462890625,,,
Botswana,BW,"Electricity installed capacity, Total (MW)",MW,Electricity,Technical,"Electricity installed capacity, Total (MW)",https://africa-energy-portal.org/aep/country/botswana,IRENA database,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,227.020004272461,227.139007568359,317.169006347656,318.614990234375,318.714996337891,918.859985351563,919.153015136719,920.280029296875,920.414978027344,920.719970703125,922.919006347656,922.919006347656,923.268981933594,923.268981933594,,
Burkina Faso,BF,Electricity generated from hydropower (GWh),GWh,Electricity,Supply,Electricity generated from hydropower (GWh),https://africa-energy-portal.org/aep/country/burkina-faso,AFREC Database,98.2679977416992,53.181999206543,63.7550010681152,96.0,100.0,99.0,80.0,110.0,135.932312011719,132.297088623047,117.538246154785,81.9494400024414,96.6458740234375,105.542701721191,64.0,93.4619979858398,102.385124206543,124.09455871582,128.929992675781,130.207748413086,131.518417358398,123.631958007813,,,
Burkina Faso,BF,"Electricity generation, Total (GWh)",GWh,Electricity,Supply,"Electricity generation, Total (GWh)",https://africa-energy-portal.org/aep/country/burkina-faso,AFREC Database,406.268005371094,381.182006835938,381.755004882813,445.0,472.0,489.0,547.728942871094,611.295227050781,619.400573730469,699.789611816406,565.370727539063,612.219482421875,478.540740966797,730.772705078125,791.0,1803.50793457031,1903.03723144531,1644.51696777344,1072.45373535156,1136.54431152344,1207.67138671875,1607.53381347656,,,
Burkina Faso,BF,"Electricity installed capacity, Total (MW)",MW,Electricity,Technical,"Electricity installed capacity, Total (MW)",https://africa-energy-portal.org/aep/country/burkina-faso,IRENA database,80.0,80.0,80.0,182.0,213.110000610352,236.110000610352,258.109985351563,255.110000610352,256.109985351563,256.111999511719,242.208999633789,304.266998291016,361.8330078125,251.490997314453,289.973999023438,334.25,331.665008544922,362.911987304688,378.355010986328,430.085998535156,430.575988769531,481.360992431641,511.955993652344,,
Burundi,BI,Electricity generated from hydropower (GWh),GWh,Electricity,Supply,Electricity generated from hydropower (GWh),https://africa-energy-portal.org/aep/country/burundi,AFREC Database,98.0,114.0,126.0,100.0,90.0,95.0,92.0,116.0,111.0,120.0,230.0,150.0,178.703994750977,178.703994750977,179.0,181.360900878906,183.809005737305,185.493453979492,188.099716186523,190.78971862793,193.563766479492,196.42253112793,,,
